		Astrodon Photometrics  Johnson/Cousins Filters															
Wavelength (nm)	UV	B	V	Rc	Ic												
625	1.41E-05	8.40E-06	10.75723934	91.29937744	0.000721343
626	6.37E-06	7.20E-06	10.20018196	90.56456757	0.00071512 
627	1.07E-05	9.17E-06	9.680589676	89.84751129	0.000681588
628	1.44E-05	3.34E-05	9.183003426	89.13842773	0.000646135
629	1.45E-05	2.70E-05	8.698410988	88.49503326	0.000606198
630	2.73E-05	3.20E-05	8.229454994	87.99674225	0.000579481
631	2.57E-05	2.15E-05	7.773356915	87.64585876	0.000552766
632	1.51E-05	2.81E-05	7.330843925	87.45772552	0.000535204
633	6.59E-06	5.77E-06	6.906289101	87.40699005	0.000524142
634	5.23E-06	-2.50E-05	6.508280277	87.44322968	0.000543827
635	1.30E-05	5.28E-06	6.137090683	87.5226593	0.00055304 
636	1.08E-05	4.71E-06	5.796670437	87.53198242	0.000590551
637	5.93E-06	3.59E-06	5.4804039	87.63679504	0.000643027
638	1.19E-05	6.67E-06	5.18653059	87.69995117	0.000686705
639	3.84E-06	3.34E-05	4.91394043	87.72733307	0.000767882
640	8.36E-06	3.02E-06	4.647452831	87.75495911	0.000856662
641	1.64E-05	-5.95E-06	4.385521889	87.74382782	0.000958244
642	5.30E-06	1.44E-05	4.110240459	87.62652588	0.001047757
643	1.35E-05	3.40E-05	3.811391115	87.46710205	0.001115039
644	1.52E-05	1.93E-06	3.475128412	87.18014526	0.001168145
645	4.71E-06	-9.17E-06	3.103957891	86.75481415	0.001153659
646	2.11E-05	4.94E-06	2.700935602	86.23708344	0.001141731
647	1.17E-05	1.26E-05	2.290731907	85.66161346	0.001094678
648	1.91E-05	4.39E-06	1.889205217	85.04007721	0.001029475
649	2.10E-05	1.83E-05	1.515773058	84.38787842	0.000971469
650	1.87E-05	1.96E-05	1.197018623	83.77340698	0.000903615
651	2.04E-05	2.85E-05	0.927873433	83.1557312	0.000861313
652	7.03E-06	1.83E-05	0.715289235	82.55535889	0.000842383
653	1.51E-05	1.49E-05	0.548072934	81.96635437	0.000835202
654	1.06E-05	1.87E-05	0.42049998	81.33270264	0.000833883
